"test_text_1" "test_text_2" "test_text_3" "test_text_4" "test_text_5"
"современности" 0 0 0 0 0
"современные" 0 0 0 0 0.05
"современных" 0 0 0 0 0
"согласиться" 0 0 0 0 0
"содержат" 0 0 0 0 0
"содержать" 0 0 0 0 0
"соединяющий" 0 0 0 0 0
"созвучное" 0 0 0 0 0
"создает" 0.05 0.05 0.05 0 0
"создали" 0 0 0 0 0
"созданной" 0 0 0 0 0
"создателей" 0 0 0 0 0
"создателя" 0 0 0 0 0
"создателям" 0 0 0 0 0
"создают" 0 0 0 0 0
"созерцательное" 0 0 0 0 0
"сознательно" 0 0 0 0 0
"сознательности" 0 0 0 0 0
"солнцу" 0 0 0 0 0
"сольных" 0 0 0 0 0
"сомневающейся" 0 0 0 0 0
"сомнений" 0 0 0 0 0
"сомнительного" 0 0 0 0 0
"сообщает" 0 0 0 0 0
"соотношении" 0 0 0 0 0
"сопровождается" 0 0 0 0 0
"сопровождающих" 0 0 0 0 0
"соригинальничать" 0 0 0 0 0
"составлявшими" 0 0 0 0 0
"составляет" 0 0 0 0 0
"состоящей" 0 0 0 0 0
"сотен" 0 0 0 0 0
"сотнями" 0 0 0 0 0
"сохи" 0 0 0 0 0
"сохраняющей" 0 0 0 0 0
"социального" 0 0 0 0 0
"социальности" 0 0 0 0 0
"социальные" 0 0 0 0 0.05
"социальных" 0 0 0 0 0
"социума" 0 0 0 0 0
"сочащимся" 0 0 0 0 0
"сочетает" 0 0 0 0 0
"сочувствие" 0 0 0 0 0
"союз" 0 0 0 0 0
"союза" 0.05 0.05 0 0 0
"спас" 0 0 0 0 0
"спасателей" 0 0 0 0 0
"спасатели" 0 0 0 0 0
"спасательный" 0 0 0 0 0
"спасать" 0 0 0 0 0
"спасении" 0 0 0 0 0
"специализирующихся" 0 0 0 0 0
"специфический" 0 0 0 0 0
"специфическом" 0 0 0 0 0
"спецназа" 0 0 0 0 0
"спецслужбами" 0 0 0 0 0
"спецэффекты" 0 0 0 0 0
"спешащая" 0 0 0 0 0
"спешит" 0 0 0 0 0
"спин" 0 0 0 0 0
"списке" 0 0 0 0 0
"список" 0 0 0 0 0
"сплошной" 0 0 0 0 0
"спойлеры" 0 0 0 0 0
"спокойный" 0 0 0 0 0
"спорте" 0 0.05 0.05 0.05 0.05
"спортивная" 0 0 0 0 0
"спортивной" 0 0.05 0.05 0.05 0
"спорткаров" 0 0 0 0 0
"способ" 0 0 0 0 0
"способен" 0 0 0 0 0
"способного" 0 0 0 0 0
"способному" 0 0 0 0 0
"способность" 0 0 0 0 0
"способностями" 0 0 0 0 0
"способный" 0 0 0 0 0
"справедливости" 0 0 0 0 0
"спрашивается" 0 0 0 0 0
"спроса" 0 0 0 0 0
"срабатывавший" 0 0 0 0 0
"сравнительно" 0 0 0 0 0
"средиземноморском" 0 0 0 0 0
"средневековых" 0 0 0 0 0
"среднее" 0 0 0 0 0
"средний" 0 0 0 0 0
"средств" 0 0 0 0 0
"срочно" 0 0 0 0 0
"ссудил" 0 0 0 0 0
"ставит" 0 0.05 0.05 0.05 0.05
"ставить" 0 0 0 0 0
"ставка" 0 0 0 0 0
"стала" 0.1 0.05 0.05 0 0
"станет" 0.05 0.05 0.05 0 0.05
"старания" 0 0 0 0 0
"старая" 0 0 0 0 0
"старое" 0 0 0 0 0
"старомодный" 0 0 0 0 0
"старому" 0 0 0 0 0
"старшая" 0 0 0 0 0
"старше" 0 0 0 0 0
"старшеклассника" 0 0 0 0 0
"старших" 0.1 0.05 0 0 0
"старые" 0 0 0 0 0
"старым" 0 0 0 0 0
"старыми" 0 0 0 0 0
"стаса" 0 0 0 0 0
"статус" 0 0 0 0 0
"статья" 0 0 0 0 0
"стекает" 0 0 0 0 0
"стеллан" 0 0 0 0 0
"стенах" 0 0 0 0 0
"стервятник" 0 0 0 0 0
"стив" 0 0 0 0 0
"стива" 0 0 0 0 0
"стивена" 0.1 0.05 0.05 0 0
"стиле" 0 0 0 0 0
"стилизация" 0 0 0 0 0
"стилистической" 0 0 0 0 0
"стихийный" 0 0 0 0 0
"столетия" 0 0 0 0 0
"сторона" 0 0 0 0 0
"стороне" 0.05 0 0 0 0
"сторонними" 0 0 0 0 0
"стоять" 0 0 0 0 0
"стоящими" 0 0 0 0 0
"стразами" 0 0 0 0 0
"страна" 0 0 0 0 0
"стране" 0 0 0 0.05 0.05
"странными" 0 0 0 0 0
"странствуя" 0 0 0 0 0
"страстно" 0 0 0 0 0
"страсть" 0 0 0 0 0
"страхами" 0 0 0 0 0
"страшилка" 0 0 0 0 0
"страшного" 0 0 0 0 0
"строительного" 0 0 0 0 0
"строится" 0 0 0 0 0
"стройных" 0 0 0 0 0
"строк" 0 0 0 0 0
"стронг" 0 0 0 0 0
"структуры" 0 0 0 0 0
"студент" 0 0 0 0 0
"стула" 0 0 0 0 0
"ступает" 0 0 0 0 0
"стыд" 0 0 0 0 0
"стычки" 0 0 0 0 0
"стюардессу" 0 0 0 0 0
"су" 0 0 0 0 0
"сугубо" 0 0 0 0 0
"судьба" 0 0 0 0 0
"судьбах" 0 0 0 0 0
"судя" 0.1 0.05 0 0 0.05
"суетливая" 0 0 0 0 0
"сумасбродная" 0 0 0 0 0
"сумбурна" 0 0 0 0 0
"сумбурном" 0 0 0 0 0
"сумку" 0 0 0 0 0
"супергероев" 0 0 0 0 0
"супергерой" 0 0 0 0 0
"супергеройское" 0 0 0 0 0
"суперспособностями" 0 0 0 0 0
"супругов" 0 0 0 0 0
"суровый" 0 0 0 0 0
"сутенером" 0 0 0 0 0
"сутки" 0 0 0 0 0
"суть" 0 0 0 0 0
"суше" 0 0 0 0 0
"сущность" 0 0 0 0 0
"схеме" 0 0 0 0 0
"сходить" 0 0 0 0 0
"сходке" 0 0 0 0 0
"схожести" 0 0 0 0 0
"схожие" 0 0 0 0 0
"сценарием" 0 0 0 0 0
"сценарий" 0 0 0 0 0
"сценаристы" 0 0 0.05 0.05 0.05
"сценарно" 0 0 0 0 0
"сценарных" 0 0 0 0 0
"счёт" 0 0 0 0 0
"счёты" 0 0 0 0 0
"считываемого" 0 0 0 0 0
"сшивает" 0 0 0 0 0
"съемками" 0 0 0 0 0
"съехались" 0 0 0 0 0
"сыгравшего" 0 0 0 0 0
"сыгравшие" 0 0 0 0 0
"сыграла" 0 0 0 0 0
"сыгран" 0 0 0 0 0
"сын" 0.05 0 0 0 0
"сыну" 0 0 0 0 0
"сэфди" 0 0 0 0 0
"сюда" 0 0 0 0 0
"сюжете" 0 0 0 0 0
"сюжетно" 0 0 0 0 0
"сюжетный" 0 0 0 0 0
"сюжетных" 0.05 0.05 0.05 0 0
"сюжетов" 0 0 0 0 0
"сюжеты" 0 0 0 0 0
"сюрпризы" 0 0 0 0 0
"та" 0 0 0 0 0
"табаско" 0 0 0 0 0
"таддеусом" 0 0 0 0 0
"таиланд" 0 0 0 0 0
"таиланда" 0 0 0 0 0
"таинственности" 0 0 0 0 0
"таинственность" 0 0 0 0 0
"таинственный" 0 0 0 0 0
"тайна" 0 0 0 0 0
"тайны" 0 0 0 0 0
"таки" 0 0 0 0 0
"такового" 0 0 0 0 0
"таком" 0 0 0 0 0
"таксистку" 0 0 0 0 0
"таноса" 0 0 0 0 0
"таносоподобной" 0 0 0 0 0
"таня" 0 0 0 0 0
"таормина" 0 0 0 0 0
"таормину" 0 0 0 0 0
"тарик" 0 0 0 0 0
"татуина" 0 0 0 0 0
"тауфик" 0 0 0 0 0
"таша" 0 0 0 0 0
"творчества" 0 0 0 0 0
"творчестве" 0 0 0 0 0
"творчество" 0.05 0.05 0.05 0 0
"театр" 0 0 0 0 0
"театре" 0 0 0 0 0
"теле" 0 0 0 0 0
"телеверсии" 0 0 0 0 0
"телевидении" 0 0 0 0 0
"телемаху" 0 0 0 0 0
"телепортации" 0 0 0 0 0
"тема" 0 0.05 0.05 0.05 0.05
"тематика" 0 0 0 0 0
"темах" 0 0 0 0 0
"темницы" 0 0 0 0 0
"темные" 0 0 0 0 0
"тенденций" 0 0 0 0 0
"тенденция" 0 0 0 0 0
"теней" 0 0 0 0 0
"тео" 0 0 0 0 0
"теорию" 0 0 0 0 0
"теплее" 0 0 0 0 0
"тёплым" 0 0 0 0 0
"теракт" 0 0 0 0 0
"терзающих" 0 0 0 0 0
"термина" 0 0 0 0 0
"тесея" 0 0 0 0 0
"техасская" 0 0 0 0 0
"технического" 0 0 0 0 0
"течением" 0 0 0 0 0
"типичный" 0 0 0 0 0
"типичным" 0 0 0 0 0
"типы" 0 0 0 0 0
"тихо" 0 0 0 0 0
"тихого" 0 0 0 0 0
"товарищей" 0 0 0 0 0
"товаров" 0 0 0 0 0
"токио" 0 0 0 0 0
"тома" 0 0 0 0 0
"томная" 0 0 0 0 0
"томным" 0 0 0 0 0
"тона" 0 0 0 0 0
"тональности" 0 0 0 0 0
"тоннами" 0 0 0 0 0
"топорно" 0 0 0 0 0
"торговцами" 0 0 0 0 0
"торговцев" 0 0 0 0 0
"торонто" 0 0 0 0 0
"точки" 0 0 0 0 0
"точности" 0 0 0 0 0
"трагическом" 0 0 0 0 0
"трагичная" 0 0 0 0 0
"традиции" 0 0 0 0 0
"традиционного" 0 0 0 0 0
"традиционной" 0 0 0 0 0
"традиционный" 0 0 0 0 0
"трансильвании" 0 0 0 0 0
"трассу" 0 0 0 0 0
"требовала" 0 0 0 0 0
"трейлера" 0 0 0 0 0
"трекер" 0 0 0 0 0
"треугольник" 0 0 0 0 0
"трех" 0 0 0 0 0.05
"триггеров" 0 0 0 0 0
"трико" 0 0 0 0 0
"триллером" 0 0 0 0 0
"тринадцати" 0 0 0 0 0
"тройная" 0 0 0 0 0
"тройной" 0 0 0 0 0
"трудная" 0 0 0 0 0
"труднее" 0 0 0 0 0
"трудность" 0 0 0 0 0
"трупов" 0 0 0 0 0
"трухина" 0 0 0 0 0
"ту" 0.05 0 0 0 0
"туман" 0 0 0 0 0
"туманность" 0 0 0 0 0
"тупит" 0 0 0 0 0
"тускнеет" 0 0 0 0 0
"тхамлуанг" 0 0 0 0 0
"тхамлуанга" 0 0 0 0 0
"тхамлуангнангнон" 0 0 0 0 0
"тхамлуангу" 0 0 0 0 0
"ты" 0 0 0 0 0
"тыкнуть" 0 0 0 0 0
"тысячелетия" 0 0 0 0 0
"тьме" 0 0 0 0 0
"тюнингованных" 0 0 0 0 0
"тюрьму" 0 0 0 0 0
"тяги" 0 0 0 0 0
"тяжело" 0 0 0 0 0
"тяжелым" 0 0 0 0 0
"тяжелых" 0 0 0 0 0
"тянет" 0 0 0 0 0
"тянущие" 0 0 0 0 0
"уайтом" 0 0 0 0 0
"уайту" 0 0 0 0 0
"убедителен" 0 0 0 0 0
"убедительно" 0 0 0 0 0
"убежишь" 0 0 0 0 0
"убивает" 0 0 0 0 0
"убивать" 0 0 0 0 0
"убийства" 0 0 0 0 0
"убийстве" 0 0 0 0 0
"убил" 0 0 0 0 0
"убили" 0 0 0 0 0
"убрав" 0 0 0 0 0
"увидим" 0 0 0 0 0
"увлекала" 0 0 0 0 0
"увлекательно" 0 0 0 0 0
"увлечены" 0 0 0 0 0
"увлечь" 0 0 0 0 0
"угощают" 0 0 0 0 0
"угрожать" 0 0 0 0 0
"угрожающими" 0 0 0 0 0
"угроза" 0 0 0 0 0
"удавалось" 0 0 0 0 0
"удалили" 0 0 0 0 0
"удачи" 0 0 0 0 0
"удерживают" 0 0 0 0 0
"удивительно" 0 0 0 0 0
"удивительным" 0 0 0 0 0
"удивление" 0 0 0 0 0
"удивлению" 0 0 0 0 0
"удобном" 0 0 0 0 0
"удобоваримый" 0 0 0 0 0
"удовлетворит" 0 0 0 0 0
"удостоилось" 0 0 0 0 0
"удручает" 0 0 0 0 0
"уехать" 0 0 0 0 0
"ужас" 0.05 0.05 0.05 0.05 0
"уживаются" 0 0 0 0 0
"узнавшая" 0 0 0 0 0
"узнаем" 0 0 0 0 0
"узнает" 0 0 0 0 0
"узнали" 0 0 0 0 0
"узнать" 0 0 0 0 0
"уидона" 0 0 0 0 0
"уика" 0 0 0 0 0
"уилл" 0 0 0 0 0
"уиллиам" 0 0 0 0 0
"уинтерботтому" 0 0 0 0 0
"украденную" 0 0 0 0 0
"украшает" 0 0 0 0 0
"улисса" 0 0 0 0 0
"улице" 0 0 0 0 0
"уличных" 0 0 0 0 0
"уловимой" 0 0 0 0 0
"уложить" 0 0 0 0 0
"улучшились" 0 0 0 0 0
"улучшить" 0 0 0 0 0
"ультранасилием" 0 0 0 0 0
"умалчивающей" 0 0 0 0 0
"умаляет" 0 0 0 0 0
"умело" 0 0 0 0 0
"уменьшил" 0 0 0 0 0
"уместная" 0 0 0 0 0
"уместнее" 0 0 0 0 0
"уместности" 0 0 0 0 0
"уместные" 0 0 0 0 0
"умом" 0 0 0 0 0
"уникальным" 0 0 0 0 0
"уничтожить" 0 0 0 0 0
"унылое" 0 0 0 0 0
"упирается" 0 0 0 0 0
"упомянутая" 0 0 0 0 0
"упомянутый" 0 0 0 0 0
"управлению" 0 0 0 0 0
"управляемой" 0 0 0 0 0
"управлять" 0 0 0 0 0
"упрощённом" 0 0 0 0 0
"урну" 0 0 0 0 0
"усиления" 0 0 0 0 0
"усилиям" 0 0 0 0 0
"условиях" 0 0 0 0 0
"условному" 0 0 0 0 0
"условный" 0 0 0 0 0
"усложняется" 0 0 0 0 0
"успевает" 0 0 0 0 0
"успела" 0 0 0 0 0
"успехи" 0 0 0 0 0
"успешен" 0 0 0 0 0
"успешна" 0 0 0 0 0
"успешности" 0 0 0 0 0
"успеют" 0 0 0 0 0
"установка" 0 0 0 0 0
"устах" 0 0 0 0 0
"устоять" 0 0 0 0 0
"устройство" 0 0 0 0 0
"уступает" 0.05 0.05 0.05 0.05 0
"утвердилась" 0 0 0 0 0
"утешение" 0 0 0 0 0
"утихающая" 0 0 0 0 0
"утратил" 0 0 0 0 0
"утяжелять" 0 0 0 0 0
"уходит" 0 0 0 0 0
"уходя" 0 0 0 0 0
"уходят" 0 0 0 0 0
"участник" 0 0 0 0 0
"участником" 0 0 0 0 0
"учащенного" 0 0 0 0 0
"ученая" 0 0 0 0 0
"ученой" 0 0 0 0 0
"ученый" 0 0 0 0 0
"учёный" 0 0 0 0 0
"учёным" 0 0 0 0 0
"учесть" 0 0 0 0 0
"учил" 0 0 0 0 0
"учит" 0 0 0 0 0
"ушёл" 0 0 0 0 0
"уэст" 0 0 0 0 0
"уютного" 0 0 0 0 0
"уютным" 0 0 0 0 0
"ф" 0 0 0 0 0
"фабрик" 0 0 0 0 0
"фабриках" 0 0 0 0 0
"фабрике" 0 0 0 0 0
"фаерболов" 0 0 0 0 0
"фаз" 0 0 0 0 0
"файзиева" 0 0 0 0 0
"факте" 0 0 0 0 0
"фактов" 0 0 0 0 0
"фамилию" 0 0 0 0 0
"фамилия" 0 0 0 0 0
"фанаты" 0.05 0.05 0 0 0
"фармацевтические" 0 0 0 0 0
"фаррелл" 0 0 0 0 0
"фарреллом" 0 0 0 0 0
"фаям" 0 0 0 0 0
"феей" 0 0 0 0 0
"фейерверк" 0 0 0 0 0
"феминист" 0 0 0 0 0
"феминности" 0 0 0 0 0
"феррикс" 0 0 0 0 0
"фестиваль" 0 0 0 0 0
"фея" 0 0 0 0 0
"физического" 0 0 0 0 0
"филадельфийское" 0 0 0 0 0
"филадельфийскому" 0 0 0 0 0
"филипа" 0 0 0 0 0
"филиппа" 0 0 0 0 0
"филипу" 0 0 0 0 0
"филлеров" 0 0 0 0 0
"филлером" 0 0 0 0 0
"фильмах" 0 0 0 0 0
"финалу" 0 0 0 0 0
"финальной" 0 0 0 0 0
"финальным" 0 0 0 0 0
"финчеровскую" 0 0 0 0 0
"фиона" 0 0 0 0 0
"флаги" 0 0 0 0 0
"флешбэки" 0 0 0 0 0
"флиртующий" 0 0 0 0 0
"флэшбеки" 0 0 0 0 0
"фокус" 0 0 0 0 0
"фольклор" 0 0 0 0 0
"фонарей" 0 0 0 0 0
"фоне" 0.1 0.05 0.05 0.05 0.1
"форда" 0 0 0 0 0
"формат" 0 0 0 0 0
"форме" 0 0 0 0 0
"формой" 0 0 0 0 0
"фото" 0 0 0 0 0
"фотографа" 0 0 0 0 0
"французского" 0 0 0 0 0
"франшизы" 0 0 0 0 0
"фресок" 0 0 0 0 0
"фримена" 0 0 0 0 0
"функцию" 0 0 0 0 0
"футбол" 0 0.05 0.05 0.05 0.05
"футбола" 0 0 0.05 0.05 0.05
"футболу" 0 0 0 0 0
"футбольной" 0 0.2 0.2 0.2 0.1
"фэйи" 0 0 0 0 0
"фэнтезийная" 0 0 0 0 0
"фэшн" 0 0 0 0 0
"х" 0.05 0 0 0.05 0.05
"хаггиса" 0 0 0 0 0
"хан" 0 0 0 0 0
"хаос" 0 0 0 0 0
"хаоса" 0 0 0 0 0
"хаотичному" 0 0 0 0 0
"характеру" 0 0 0 0 0
"характеры" 0 0 0 0 0
"харизмы" 0 0 0 0 0
"харпер" 0 0 0 0 0
"хван" 0 0 0 0 0
"хватило" 0 0 0 0 0
"хейсман" 0 0 0 0 0
"хелен" 0.05 0.05 0.05 0 0
"хи" 0 0 0 0 0
"хилле" 0 0 0 0 0
"хитреца" 0 0 0 0 0
"хладнокровного" 0 0 0 0 0
"хобби" 0 0 0 0 0
"ходе" 0 0 0 0 0
"ходу" 0 0 0 0 0
"хок" 0 0 0 0 0
"холодной" 0 0 0 0 0
"холодному" 0 0 0 0 0
"холодным" 0 0 0 0 0
"хонсу" 0 0 0 0 0
"хорватии" 0 0 0 0 0
"хороший" 0 0 0 0 0
"хорошим" 0 0 0 0 0
"хоррором" 0 0 0 0 0
"хронометраж" 0 0 0 0 0
"хрупкого" 0 0 0 0 0
"хтони" 0 0 0 0 0
"худею" 0 0 0 0 0
"художественных" 0 0 0 0 0
"хэллоуин" 0 0 0 0 0
"цам" 0 0 0 0 0
"цветкова" 0 0 0 0 0
"цветом" 0 0 0 0 0
"цвету" 0 0 0 0 0
"цветы" 0 0 0 0 0
"целевую" 0 0 0 0 0
"целей" 0 0 0 0 0
"целится" 0 0 0 0 0
"целостное" 0 0 0 0 0
"целостности" 0 0 0 0 0
"целую" 0 0 0 0 0
"целых" 0 0 0 0 0
"цельными" 0 0 0 0 0
"целью" 0 0 0 0 0
"ценителей" 0 0 0 0 0
"ценных" 0 0 0 0 0
"центр" 0.05 0.05 0 0 0
"центра" 0 0 0 0 0
"центробежности" 0 0 0 0 0
"цепляющего" 0 0 0 0 0
"цепочка" 0 0 0 0 0
"церемонии" 0 0 0 0 0
"циник" 0 0 0 0 0
"цинично" 0.05 0 0 0 0
"циничного" 0 0 0 0 0
"циничную" 0 0 0 0 0
"цукерман" 0 0 0 0 0
"час" 0 0 0 0 0
"часа" 0 0 0 0 0
"частей" 0 0 0 0 0
"частном" 0 0 0 0 0
"частого" 0 0 0 0 0
"частой" 0 0 0 0 0
"чахнущую" 0 0 0 0 0
"чей" 0.05 0.05 0.05 0 0
"человеком" 0 0 0 0 0
"человеческая" 0 0 0 0 0
"человеческой" 0 0 0 0 0
"человечества" 0 0 0 0 0
"чемпионатом" 0 0 0 0 0
"череду" 0 0 0 0 0
"чередуя" 0 0 0 0 0
"чересчур" 0 0 0 0 0
"черная" 0 0 0 0 0
"черно" 0 0 0 0 0
"черновики" 0 0 0 0 0
"черную" 0 0 0 0 0
"чесборо" 0 0 0 0 0
"четвёртой" 0 0 0 0 0
"четверть" 0 0 0 0 0
"четко" 0 0 0 0 0
"четырех" 0 0 0.05 0.05 0.05
"чианграй" 0 0 0 0 0
"чиновником" 0 0 0 0 0
"числа" 0 0 0 0 0
"числился" 0 0 0 0 0
"чистого" 0 0 0 0 0
"читающий" 0 0 0 0 0
"члены" 0 0 0 0 0
"чон" 0 0 0 0 0
"чрезмерно" 0 0 0 0 0
"чрезмерной" 0 0 0 0 0
"чрезмерность" 0 0 0 0 0
"чтениях" 0 0 0 0 0
"чувств" 0 0 0 0 0
"чувстве" 0 0 0 0 0
"чувство" 0.15 0.15 0.1 0.05 0.05
"чудесно" 0 0 0 0 0
"чудесным" 0 0 0 0 0
"чудовищ" 0 0 0 0 0
"чудовищах" 0 0 0 0 0
"чудовище" 0 0 0 0 0
"чудовищно" 0 0 0 0 0
"чужое" 0 0 0 0 0
"чуткий" 0 0 0 0 0
"чхан" 0 0 0 0 0
"чхана" 0 0 0 0 0
"шаббата" 0 0 0 0 0
"шаблон" 0 0 0 0 0
"шаблонам" 0 0 0 0 0
"шалашом" 0 0 0 0 0
"шансы" 0 0 0 0 0
"шапочно" 0 0 0 0 0
"шарлатан" 0 0 0 0 0
"шарп" 0 0 0 0 0
"шахты" 0 0 0 0 0
"шведско" 0 0 0 0 0
"шедевром" 0 0 0 0 0
"шесть" 0 0 0 0 0
"шестьдесят" 0 0 0 0 0
"школьник" 0 0 0 0 0
"школьники" 0 0 0 0 0
"шли" 0 0 0 0 0
"шоураннер" 0 0 0 0 0
"шоураннера" 0 0 0 0 0
"шпионами" 0 0 0 0 0
"шпионе" 0 0 0 0 0
"шрайбер" 0 0 0 0 0
"шрамами" 0 0 0 0 0
"шри" 0 0 0 0 0
"штамм" 0 0 0 0 0
"штрихов" 0 0 0 0 0
"шутка" 0 0 0.05 0.05 0.05
"шутками" 0 0 0 0 0
"шуточки" 0 0 0 0 0
"щедро" 0 0 0 0 0
"эванджелин" 0 0 0 0 0
"эванс" 0 0 0 0 0
"эвансом" 0 0 0 0 0
"эго" 0 0 0 0 0
"эгоизм" 0 0 0 0 0
"эгоизма" 0 0 0 0 0
"экзема" 0 0 0 0 0
"экклезиаста" 0 0 0 0 0
"эклектика" 0 0 0 0 0
"экрана" 0 0 0 0 0
"экранного" 0 0 0 0 0
"экскурсии" 0 0 0.05 0.05 0.05
"экспериментов" 0 0 0 0 0
"экстремальной" 0 0 0 0 0
"эксцентричная" 0 0 0 0 0
"эксцентричный" 0 0 0 0 0
"экшена" 0 0 0 0 0
"экшенах" 0 0 0 0 0
"эла" 0 0 0 0 0
"электроники" 0 0 0 0 0
"электронным" 0 0 0 0 0
"элижабеты" 0 0 0 0 0
"элитного" 0 0 0 0 0
"эллады" 0 0 0 0 0
"эмерсона" 0 0 0 0 0
"эмигрантов" 0 0 0 0 0
"эммануэль" 0 0 0 0 0
"эмми" 0 0 0 0 0
"эмоционально" 0 0 0 0 0
"эмоциональное" 0 0 0 0 0
"эмоциональной" 0.05 0.05 0.05 0.05 0
"эмпатичный" 0 0 0 0 0
"энджел" 0 0 0 0 0
"энергии" 0 0 0 0 0
"энн" 0 0 0 0 0
"эпизод" 0 0 0 0 0
"эпизода" 0 0.05 0.05 0.05 0.05
"эпизодами" 0 0 0 0 0
"эпизодом" 0 0 0 0 0
"эпицентре" 0 0 0 0 0
"эпоху" 0 0 0 0 0
"эриком" 0 0 0 0 0
"эскортницы" 0 0 0 0 0
"эстетических" 0 0 0 0 0
"эстрады" 0 0 0 0 0
"эстрин" 0 0 0 0 0
"эталоны" 0 0 0 0 0
"этапы" 0 0 0 0 0
"этим" 0 0 0 0 0.05
"этических" 0 0 0 0 0
"этичности" 0 0 0 0.1 0.1
"юбилея" 0 0 0 0 0
"юбиляра" 0 0 0 0 0
"юг" 0 0 0 0 0
"юн" 0 0 0 0 0
"юной" 0.05 0.05 0.05 0.05 0
"юноша" 0 0 0 0 0
"юношеском" 0 0 0 0 0
"юношу" 0 0 0 0 0
"юридического" 0 0 0 0 0
"яблока" 0 0 0 0 0
"яблоко" 0 0 0 0 0
"явились" 0 0 0 0 0
"явление" 0 0 0.05 0.1 0.15
"являлась" 0 0 0 0 0
"являясь" 0 0 0 0 0
"явственно" 0 0 0 0 0
"ягненок" 0 0 0 0 0
"языках" 0 0 0 0 0
"якова" 0 0 0 0 0
"яковлева" 0 0 0 0 0
"якутский" 0 0 0 0 0
"японским" 0 0 0 0 0
"ярким" 0 0 0 0 0
"яркими" 0 0 0 0 0
"яркое" 0 0 0 0 0
"ярость" 0 0 0 0 0
"ярче" 0 0 0 0 0
"ясном" 0 0 0 0 0
